id_const,territorio,id_tiempo,tipo,unidad,valor
278,Aragón,202107,Mercantiles,Número de Sociedades,153
279,Aragón,202106,Mercantiles,Número de Sociedades,203
280,Aragón,202105,Mercantiles,Número de Sociedades,178
281,Aragón,202104,Mercantiles,Número de Sociedades,178
282,Aragón,202103,Mercantiles,Número de Sociedades,222
283,Aragón,202102,Mercantiles,Número de Sociedades,170
284,Aragón,202101,Mercantiles,Número de Sociedades,119
285,Aragón,202012,Mercantiles,Número de Sociedades,152
286,Aragón,202011,Mercantiles,Número de Sociedades,138
287,Aragón,202010,Mercantiles,Número de Sociedades,149
288,Aragón,202009,Mercantiles,Número de Sociedades,141
289,Aragón,202008,Mercantiles,Número de Sociedades,100
290,Aragón,202007,Mercantiles,Número de Sociedades,142
291,Aragón,202006,Mercantiles,Número de Sociedades,124
292,Aragón,202005,Mercantiles,Número de Sociedades,52
293,Aragón,202004,Mercantiles,Número de Sociedades,44
294,Aragón,202003,Mercantiles,Número de Sociedades,131
295,Aragón,202002,Mercantiles,Número de Sociedades,206
296,Aragón,202001,Mercantiles,Número de Sociedades,164
297,Aragón,201912,Mercantiles,Número de Sociedades,125
298,Aragón,201911,Mercantiles,Número de Sociedades,152
299,Aragón,201910,Mercantiles,Número de Sociedades,141
300,Aragón,201909,Mercantiles,Número de Sociedades,137
301,Aragón,201908,Mercantiles,Número de Sociedades,106
302,Aragón,201907,Mercantiles,Número de Sociedades,147
303,Aragón,201906,Mercantiles,Número de Sociedades,152
304,Aragón,201905,Mercantiles,Número de Sociedades,185
305,Aragón,201904,Mercantiles,Número de Sociedades,169
306,Aragón,201903,Mercantiles,Número de Sociedades,239
307,Aragón,201902,Mercantiles,Número de Sociedades,205
308,Aragón,201901,Mercantiles,Número de Sociedades,155
309,Aragón,201812,Mercantiles,Número de Sociedades,162
310,Aragón,201811,Mercantiles,Número de Sociedades,146
311,Aragón,201810,Mercantiles,Número de Sociedades,148
312,Aragón,201809,Mercantiles,Número de Sociedades,132
313,Aragón,201808,Mercantiles,Número de Sociedades,106
314,Aragón,201807,Mercantiles,Número de Sociedades,183
315,Aragón,201806,Mercantiles,Número de Sociedades,137
316,Aragón,201805,Mercantiles,Número de Sociedades,166
317,Aragón,201804,Mercantiles,Número de Sociedades,200
318,Aragón,201803,Mercantiles,Número de Sociedades,206
319,Aragón,201802,Mercantiles,Número de Sociedades,210
320,Aragón,201801,Mercantiles,Número de Sociedades,220
321,Aragón,201712,Mercantiles,Número de Sociedades,143
322,Aragón,201711,Mercantiles,Número de Sociedades,197
323,Aragón,201710,Mercantiles,Número de Sociedades,156
324,Aragón,201709,Mercantiles,Número de Sociedades,130
325,Aragón,201708,Mercantiles,Número de Sociedades,127
326,Aragón,201707,Mercantiles,Número de Sociedades,135
327,Aragón,201706,Mercantiles,Número de Sociedades,185
328,Aragón,201705,Mercantiles,Número de Sociedades,144
329,Aragón,201704,Mercantiles,Número de Sociedades,165
330,Aragón,201703,Mercantiles,Número de Sociedades,229
331,Aragón,201702,Mercantiles,Número de Sociedades,208
332,Aragón,201701,Mercantiles,Número de Sociedades,218
333,Aragón,201612,Mercantiles,Número de Sociedades,184
334,Aragón,201611,Mercantiles,Número de Sociedades,176
335,Aragón,201610,Mercantiles,Número de Sociedades,129
336,Aragón,201609,Mercantiles,Número de Sociedades,152
337,Aragón,201608,Mercantiles,Número de Sociedades,161
338,Aragón,201607,Mercantiles,Número de Sociedades,225
339,Aragón,201606,Mercantiles,Número de Sociedades,223
340,Aragón,201605,Mercantiles,Número de Sociedades,254
341,Aragón,201604,Mercantiles,Número de Sociedades,231
342,Aragón,201603,Mercantiles,Número de Sociedades,256
343,Aragón,201602,Mercantiles,Número de Sociedades,367
344,Aragón,201601,Mercantiles,Número de Sociedades,168
345,Aragón,201512,Mercantiles,Número de Sociedades,158
346,Aragón,201511,Mercantiles,Número de Sociedades,169
347,Aragón,201510,Mercantiles,Número de Sociedades,147
348,Aragón,201509,Mercantiles,Número de Sociedades,168
349,Aragón,201508,Mercantiles,Número de Sociedades,137
350,Aragón,201507,Mercantiles,Número de Sociedades,168
351,Aragón,201506,Mercantiles,Número de Sociedades,144
352,Aragón,201505,Mercantiles,Número de Sociedades,165
353,Aragón,201504,Mercantiles,Número de Sociedades,168
354,Aragón,201503,Mercantiles,Número de Sociedades,229
355,Aragón,201502,Mercantiles,Número de Sociedades,179
356,Aragón,201501,Mercantiles,Número de Sociedades,170
357,Aragón,201412,Mercantiles,Número de Sociedades,163
358,Aragón,201411,Mercantiles,Número de Sociedades,173
359,Aragón,201410,Mercantiles,Número de Sociedades,132
360,Aragón,201409,Mercantiles,Número de Sociedades,147
361,Aragón,201408,Mercantiles,Número de Sociedades,104
362,Aragón,201407,Mercantiles,Número de Sociedades,160
363,Aragón,201406,Mercantiles,Número de Sociedades,188
364,Aragón,201405,Mercantiles,Número de Sociedades,165
365,Aragón,201404,Mercantiles,Número de Sociedades,163
366,Aragón,201403,Mercantiles,Número de Sociedades,209
367,Aragón,201402,Mercantiles,Número de Sociedades,181
368,Aragón,201401,Mercantiles,Número de Sociedades,148
369,Aragón,201312,Mercantiles,Número de Sociedades,138
370,Aragón,201311,Mercantiles,Número de Sociedades,177
371,Aragón,201310,Mercantiles,Número de Sociedades,147
372,Aragón,201309,Mercantiles,Número de Sociedades,137
373,Aragón,201308,Mercantiles,Número de Sociedades,140
374,Aragón,201307,Mercantiles,Número de Sociedades,167
375,Aragón,201306,Mercantiles,Número de Sociedades,156
376,Aragón,201305,Mercantiles,Número de Sociedades,187
377,Aragón,201304,Mercantiles,Número de Sociedades,201
378,Aragón,201303,Mercantiles,Número de Sociedades,182
379,Aragón,201302,Mercantiles,Número de Sociedades,189
380,Aragón,201301,Mercantiles,Número de Sociedades,201
381,Aragón,201212,Mercantiles,Número de Sociedades,164
