id_dis,territorio,id_tiempo,razon,numero_sociedades
275,Aragón,202110,Voluntaria,23.0
276,Aragón,202109,Voluntaria,31.0
277,Aragón,202108,Voluntaria,33.0
278,Aragón,202107,Voluntaria,30.0
279,Aragón,202106,Voluntaria,32.0
280,Aragón,202105,Voluntaria,51.0
281,Aragón,202104,Voluntaria,39.0
282,Aragón,202103,Voluntaria,48.0
283,Aragón,202102,Voluntaria,80.0
284,Aragón,202101,Voluntaria,82.0
285,Aragón,202012,Voluntaria,103.0
286,Aragón,202011,Voluntaria,63.0
287,Aragón,202010,Voluntaria,30.0
288,Aragón,202009,Voluntaria,37.0
289,Aragón,202008,Voluntaria,21.0
290,Aragón,202007,Voluntaria,26.0
291,Aragón,202006,Voluntaria,34.0
292,Aragón,202005,Voluntaria,14.0
293,Aragón,202004,Voluntaria,9.0
294,Aragón,202003,Voluntaria,33.0
295,Aragón,202002,Voluntaria,66.0
296,Aragón,202001,Voluntaria,120.0
297,Aragón,201912,Voluntaria,128.0
298,Aragón,201911,Voluntaria,69.0
299,Aragón,201910,Voluntaria,44.0
300,Aragón,201909,Voluntaria,27.0
301,Aragón,201908,Voluntaria,44.0
302,Aragón,201907,Voluntaria,33.0
303,Aragón,201906,Voluntaria,28.0
304,Aragón,201905,Voluntaria,29.0
305,Aragón,201904,Voluntaria,46.0
306,Aragón,201903,Voluntaria,49.0
307,Aragón,201902,Voluntaria,60.0
308,Aragón,201901,Voluntaria,112.0
309,Aragón,201812,Voluntaria,131.0
310,Aragón,201811,Voluntaria,61.0
311,Aragón,201810,Voluntaria,37.0
312,Aragón,201809,Voluntaria,19.0
313,Aragón,201808,Voluntaria,30.0
314,Aragón,201807,Voluntaria,28.0
315,Aragón,201806,Voluntaria,35.0
316,Aragón,201805,Voluntaria,32.0
317,Aragón,201804,Voluntaria,41.0
318,Aragón,201803,Voluntaria,34.0
319,Aragón,201802,Voluntaria,81.0
320,Aragón,201801,Voluntaria,125.0
321,Aragón,201712,Voluntaria,82.0
322,Aragón,201711,Voluntaria,40.0
323,Aragón,201710,Voluntaria,27.0
324,Aragón,201709,Voluntaria,22.0
325,Aragón,201708,Voluntaria,40.0
326,Aragón,201707,Voluntaria,35.0
327,Aragón,201706,Voluntaria,32.0
328,Aragón,201705,Voluntaria,47.0
329,Aragón,201704,Voluntaria,35.0
330,Aragón,201703,Voluntaria,55.0
331,Aragón,201702,Voluntaria,74.0
332,Aragón,201701,Voluntaria,142.0
333,Aragón,201612,Voluntaria,84.0
334,Aragón,201611,Voluntaria,66.0
335,Aragón,201610,Voluntaria,24.0
336,Aragón,201609,Voluntaria,32.0
337,Aragón,201608,Voluntaria,28.0
338,Aragón,201607,Voluntaria,27.0
339,Aragón,201606,Voluntaria,35.0
340,Aragón,201605,Voluntaria,37.0
341,Aragón,201604,Voluntaria,36.0
342,Aragón,201603,Voluntaria,46.0
343,Aragón,201602,Voluntaria,100.0
344,Aragón,201601,Voluntaria,69.0
345,Aragón,201512,Voluntaria,80.0
346,Aragón,201511,Voluntaria,47.0
347,Aragón,201510,Voluntaria,29.0
348,Aragón,201509,Voluntaria,28.0
349,Aragón,201508,Voluntaria,43.0
350,Aragón,201507,Voluntaria,35.0
351,Aragón,201506,Voluntaria,33.0
352,Aragón,201505,Voluntaria,24.0
353,Aragón,201504,Voluntaria,28.0
354,Aragón,201503,Voluntaria,34.0
355,Aragón,201502,Voluntaria,54.0
356,Aragón,201501,Voluntaria,93.0
357,Aragón,201412,Voluntaria,53.0
358,Aragón,201411,Voluntaria,63.0
359,Aragón,201410,Voluntaria,40.0
360,Aragón,201409,Voluntaria,30.0
361,Aragón,201408,Voluntaria,37.0
362,Aragón,201407,Voluntaria,39.0
363,Aragón,201406,Voluntaria,33.0
364,Aragón,201405,Voluntaria,28.0
365,Aragón,201404,Voluntaria,33.0
366,Aragón,201403,Voluntaria,47.0
367,Aragón,201402,Voluntaria,81.0
368,Aragón,201401,Voluntaria,84.0
369,Aragón,201312,Voluntaria,110.0
370,Aragón,201311,Voluntaria,35.0
371,Aragón,201310,Voluntaria,55.0
372,Aragón,201309,Voluntaria,30.0
373,Aragón,201308,Voluntaria,27.0
374,Aragón,201307,Voluntaria,50.0
375,Aragón,201306,Voluntaria,48.0
376,Aragón,201305,Voluntaria,48.0
377,Aragón,201304,Voluntaria,51.0
378,Aragón,201303,Voluntaria,48.0
379,Aragón,201302,Voluntaria,77.0
380,Aragón,201301,Voluntaria,99.0
381,Aragón,201212,Voluntaria,82.0
382,Aragón,201211,Voluntaria,26.0
383,Aragón,201210,Voluntaria,31.0
384,Aragón,201209,Voluntaria,32.0
385,Aragón,201208,Voluntaria,32.0
386,Aragón,201207,Voluntaria,31.0
387,Aragón,201206,Voluntaria,50.0
388,Aragón,201205,Voluntaria,48.0
389,Aragón,201204,Voluntaria,45.0
390,Aragón,201203,Voluntaria,63.0
391,Aragón,201202,Voluntaria,80.0
392,Aragón,201201,Voluntaria,113.0
393,Aragón,201112,Voluntaria,64.0
394,Aragón,201111,Voluntaria,55.0
395,Aragón,201110,Voluntaria,32.0
396,Aragón,201109,Voluntaria,32.0
397,Aragón,201108,Voluntaria,40.0
398,Aragón,201107,Voluntaria,38.0
399,Aragón,201106,Voluntaria,29.0
400,Aragón,201105,Voluntaria,24.0
401,Aragón,201104,Voluntaria,37.0
402,Aragón,201103,Voluntaria,48.0
403,Aragón,201102,Voluntaria,66.0
404,Aragón,201101,Voluntaria,84.0
405,Aragón,201012,Voluntaria,69.0
406,Aragón,201011,Voluntaria,57.0
407,Aragón,201010,Voluntaria,34.0
408,Aragón,201009,Voluntaria,25.0
409,Aragón,201008,Voluntaria,33.0
410,Aragón,201007,Voluntaria,32.0
411,Aragón,201006,Voluntaria,27.0
412,Aragón,201005,Voluntaria,33.0
413,Aragón,201004,Voluntaria,31.0
414,Aragón,201003,Voluntaria,51.0
415,Aragón,201002,Voluntaria,83.0
416,Aragón,201001,Voluntaria,89.0
417,Aragón,200912,Voluntaria,83.0
418,Aragón,200911,Voluntaria,50.0
419,Aragón,200910,Voluntaria,19.0
420,Aragón,200909,Voluntaria,43.0
421,Aragón,200908,Voluntaria,29.0
422,Aragón,200907,Voluntaria,27.0
423,Aragón,200906,Voluntaria,31.0
424,Aragón,200905,Voluntaria,37.0
425,Aragón,200904,Voluntaria,46.0
426,Aragón,200903,Voluntaria,45.0
427,Aragón,200902,Voluntaria,58.0
428,Aragón,200901,Voluntaria,84.0
429,Aragón,200812,Voluntaria,94.0
430,Aragón,200811,Voluntaria,87.0
431,Aragón,200810,Voluntaria,33.0
432,Aragón,200809,Voluntaria,30.0
433,Aragón,200808,Voluntaria,36.0
434,Aragón,200807,Voluntaria,25.0
435,Aragón,200806,Voluntaria,18.0
436,Aragón,200805,Voluntaria,33.0
437,Aragón,200804,Voluntaria,35.0
438,Aragón,200803,Voluntaria,48.0
439,Aragón,200802,Voluntaria,67.0
440,Aragón,200801,Voluntaria,92.0
441,"Asturias, Principado de",202604,Voluntaria,28.0
442,"Asturias, Principado de",202603,Voluntaria,29.0
443,"Asturias, Principado de",202602,Voluntaria,51.0
444,"Asturias, Principado de",202601,Voluntaria,76.0
445,"Asturias, Principado de",202512,Voluntaria,57.0
446,"Asturias, Principado de",202511,Voluntaria,30.0
447,"Asturias, Principado de",202510,Voluntaria,35.0
448,"Asturias, Principado de",202509,Voluntaria,14.0
449,"Asturias, Principado de",202508,Voluntaria,64.0
450,"Asturias, Principado de",202507,Voluntaria,17.0
451,"Asturias, Principado de",202506,Voluntaria,16.0
452,"Asturias, Principado de",202505,Voluntaria,27.0
453,"Asturias, Principado de",202504,Voluntaria,28.0
454,"Asturias, Principado de",202503,Voluntaria,32.0
455,"Asturias, Principado de",202502,Voluntaria,51.0
456,"Asturias, Principado de",202501,Voluntaria,69.0
457,"Asturias, Principado de",202412,Voluntaria,32.0
458,"Asturias, Principado de",202411,Voluntaria,31.0
459,"Asturias, Principado de",202410,Voluntaria,29.0
460,"Asturias, Principado de",202409,Voluntaria,20.0
461,"Asturias, Principado de",202408,Voluntaria,20.0
462,"Asturias, Principado de",202407,Voluntaria,28.0
463,"Asturias, Principado de",202406,Voluntaria,20.0
464,"Asturias, Principado de",202405,Voluntaria,27.0
465,"Asturias, Principado de",202404,Voluntaria,22.0
466,"Asturias, Principado de",202403,Voluntaria,25.0
467,"Asturias, Principado de",202402,Voluntaria,39.0
468,"Asturias, Principado de",202401,Voluntaria,64.0
469,"Asturias, Principado de",202312,Voluntaria,53.0
470,"Asturias, Principado de",202311,Voluntaria,29.0
471,"Asturias, Principado de",202310,Voluntaria,30.0
472,"Asturias, Principado de",202309,Voluntaria,17.0
473,"Asturias, Principado de",202308,Voluntaria,18.0
474,"Asturias, Principado de",202307,Voluntaria,20.0
475,"Asturias, Principado de",202306,Voluntaria,22.0
476,"Asturias, Principado de",202305,Voluntaria,12.0
477,"Asturias, Principado de",202304,Voluntaria,13.0
478,"Asturias, Principado de",202303,Voluntaria,32.0
479,"Asturias, Principado de",202302,Voluntaria,34.0
480,"Asturias, Principado de",202301,Voluntaria,70.0
481,"Asturias, Principado de",202212,Voluntaria,54.0
482,"Asturias, Principado de",202211,Voluntaria,49.0
