id_dis,id_tiempo,razon,numero_sociedades,id_territorio
369,201312,voluntaria,110,3
370,201311,voluntaria,35,3
371,201310,voluntaria,55,3
372,201309,voluntaria,30,3
373,201308,voluntaria,27,3
374,201307,voluntaria,50,3
375,201306,voluntaria,48,3
376,201305,voluntaria,48,3
377,201304,voluntaria,51,3
378,201303,voluntaria,48,3
379,201302,voluntaria,77,3
380,201301,voluntaria,99,3
381,201212,voluntaria,82,3
382,201211,voluntaria,26,3
383,201210,voluntaria,31,3
384,201209,voluntaria,32,3
385,201208,voluntaria,32,3
386,201207,voluntaria,31,3
387,201206,voluntaria,50,3
388,201205,voluntaria,48,3
389,201204,voluntaria,45,3
390,201203,voluntaria,63,3
391,201202,voluntaria,80,3
392,201201,voluntaria,113,3
393,201112,voluntaria,64,3
394,201111,voluntaria,55,3
395,201110,voluntaria,32,3
396,201109,voluntaria,32,3
397,201108,voluntaria,40,3
398,201107,voluntaria,38,3
399,201106,voluntaria,29,3
400,201105,voluntaria,24,3
401,201104,voluntaria,37,3
402,201103,voluntaria,48,3
403,201102,voluntaria,66,3
404,201101,voluntaria,84,3
405,201012,voluntaria,69,3
406,201011,voluntaria,57,3
407,201010,voluntaria,34,3
408,201009,voluntaria,25,3
409,201008,voluntaria,33,3
410,201007,voluntaria,32,3
411,201006,voluntaria,27,3
412,201005,voluntaria,33,3
413,201004,voluntaria,31,3
414,201003,voluntaria,51,3
415,201002,voluntaria,83,3
416,201001,voluntaria,89,3
417,200912,voluntaria,83,3
418,200911,voluntaria,50,3
419,200910,voluntaria,19,3
420,200909,voluntaria,43,3
421,200908,voluntaria,29,3
422,200907,voluntaria,27,3
423,200906,voluntaria,31,3
424,200905,voluntaria,37,3
425,200904,voluntaria,46,3
426,200903,voluntaria,45,3
427,200902,voluntaria,58,3
428,200901,voluntaria,84,3
429,200812,voluntaria,94,3
430,200811,voluntaria,87,3
431,200810,voluntaria,33,3
432,200809,voluntaria,30,3
433,200808,voluntaria,36,3
434,200807,voluntaria,25,3
435,200806,voluntaria,18,3
436,200805,voluntaria,33,3
437,200804,voluntaria,35,3
438,200803,voluntaria,48,3
439,200802,voluntaria,67,3
440,200801,voluntaria,92,3
441,202604,voluntaria,28,4
442,202603,voluntaria,29,4
443,202602,voluntaria,51,4
444,202601,voluntaria,76,4
445,202512,voluntaria,57,4
446,202511,voluntaria,30,4
447,202510,voluntaria,35,4
448,202509,voluntaria,14,4
449,202508,voluntaria,64,4
450,202507,voluntaria,17,4
451,202506,voluntaria,16,4
452,202505,voluntaria,27,4
453,202504,voluntaria,28,4
454,202503,voluntaria,32,4
455,202502,voluntaria,51,4
456,202501,voluntaria,69,4
457,202412,voluntaria,32,4
458,202411,voluntaria,31,4
459,202410,voluntaria,29,4
460,202409,voluntaria,20,4
461,202408,voluntaria,20,4
462,202407,voluntaria,28,4
463,202406,voluntaria,20,4
